text,tokens,ner_tags
"Indian national Rajesh Kumar's passport number H45 22142 and voter ID CMF4829316 are linked to his bank account with IFSC code PNB0748077, and his email is mf355@anandgroupindia.com.","['Indian', 'national', 'Rajesh', 'Kumar', ""'s"", 'passport', 'number', 'H45', '22142', 'and', 'voter', 'ID', 'CMF4829316', 'are', 'linked', 'to', 'his', 'bank', 'account', 'with', 'IFSC', 'code', 'PNB0748077', ',', 'and', 'his', 'email', 'is', 'mf355@anandgroupindia.com', '.']","['B-NATIONALITY', 'I-NATIONALITY', 'B-NAME', 'I-NAME', 'O', 'O', 'O', 'B-PASSPORT', 'I-PASSPORT', 'O', 'O', 'O', 'B-VOTER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-BANKIFSC', 'O', 'O', 'O', 'O', 'O', 'B-EMAIL', 'O']"
"Mr. aman, an Indian national residing in Abhaipur, holds a driving license number UP-4620091579995 and his PAN is YQUHQ5234M; his ATM card number is 50812636088585736.","['Mr.', 'aman', ',', 'an', 'Indian', 'national', 'residing', 'in', 'Abhaipur', ',', 'holds', 'a', 'driving', 'license', 'number', 'UP-4620091579995', 'and', 'his', 'PAN', 'is', 'YQUHQ5234M', ';', 'his', 'ATM', 'card', 'number', 'is', '50812636088585736', '.']","['O', 'B-NAME', 'O', 'O', 'B-NATIONALITY', 'I-NATIONALITY', 'O', 'O', 'B-CITY', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LICENSE', 'O', 'O', 'O', 'O', 'B-PAN', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDNUMBER', 'O']"
"Khursid, an Indian national, uses barjrajshivani412@neemans.com and has an AXIS0975022 IFSC code linked to his bank account 93676795998954, and his ATM card number is 50812667959989541.","['Khursid', ',', 'an', 'Indian', 'national', ',', 'uses', 'barjrajshivani412@neemans.com', 'and', 'has', 'an', 'AXIS0975022', 'IFSC', 'code', 'linked', 'to', 'his', 'bank', 'account', '93676795998954', ',', 'and', 'his', 'ATM', 'card', 'number', 'is', '50812667959989541']","['B-NAME', 'O', 'O', 'B-NATIONALITY', 'I-NATIONALITY', 'O', 'O', 'B-EMAIL', 'O', 'O', 'O', 'B-BANKIFSC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ACCOUNTNUMBER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDNUMBER']"
"Rajeev, a male resident of Abhanpur, holds passport number Z5215184, driving license UP-7120044674208, and bank account 19711331777; his email is barjrajshivani144@smcinvestments.co.in, and his IP address is 202.132.94.185.","['Rajeev', ',', 'a', 'male', 'resident', 'of', 'Abhanpur', ',', 'holds', 'passport', 'number', 'Z5215184', ',', 'driving', 'license', 'UP-7120044674208', ',', 'and', 'bank', 'account', '19711331777', ';', 'his', 'email', 'is', 'barjrajshivani144@smcinvestments.co.in', ',', 'and', 'his', 'IP', 'address', 'is', '202.132.94.185']","['B-NAME', 'O', 'O', 'B-GENDER', 'O', 'O', 'B-CITY', 'O', 'O', 'O', 'O', 'B-PASSPORT', 'O', 'O', 'O', 'B-LICENSE', 'O', 'O', 'O', 'O', 'B-ACCOUNTNUMBER', 'O', 'O', 'O', 'O', 'B-EMAIL', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IP']"
"Durgesh, born on 04-02-2009, possesses voter ID FJP4545996, bank account 6923155432791 with IFSC code KARB0960352, and his Aadhaar number is 811488123007; his phone number is 918566891620.","['Durgesh', ',', 'born', 'on', '04-02-2009', ',', 'possesses', 'voter', 'ID', 'FJP4545996', ',', 'bank', 'account', '6923155432791', 'with', 'IFSC', 'code', 'KARB0960352', ',', 'and', 'his', 'Aadhaar', 'number', 'is', '811488123007', ';', 'his', 'phone', 'number', 'is', '918566891620']","['B-NAME', 'O', 'O', 'O', 'B-DOB', 'O', 'O', 'O', 'O', 'B-VOTER', 'O', 'O', 'O', 'B-ACCOUNTNUMBER', 'O', 'O', 'O', 'B-BANKIFSC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AADHAR', 'O', 'O', 'O', 'O', 'O', 'B-PHONE']"
"Nahar Singh, residing in Abhayapuri, holds passport D1830638, PAN PAMZY4953M, and voter ID PMG3262195; his email is indianindian794@in.nifco.com.","['Nahar', 'Singh', ',', 'residing', 'in', 'Abhayapuri', ',', 'holds', 'passport', 'D1830638', ',', 'PAN', 'PAMZY4953M', ',', 'and', 'voter', 'ID', 'PMG3262195', ';', 'his', 'email', 'is', 'indianindian794@in.nifco.com']","['B-NAME', 'I-NAME', 'O', 'O', 'O', 'B-CITY', 'O', 'O', 'O', 'B-PASSPORT', 'O', 'O', 'B-PAN', 'O', 'O', 'O', 'O', 'B-VOTER', 'O', 'O', 'O', 'O', 'B-EMAIL']"
"Mr. Rajesh Kumar, a resident of Mumbai, whose date of birth is 09/01/1968, has an active bank account 383987125882 with ICIC0632853 IFSC code and his aadhar number is 844063404132.","['Mr.', 'Rajesh', 'Kumar', ',', 'a', 'resident', 'of', 'Mumbai', ',', 'whose', 'date', 'of', 'birth', 'is', '09/01/1968', ',', 'has', 'an', 'active', 'bank', 'account', '383987125882', 'with', 'ICIC0632853', 'IFSC', 'code', 'and', 'his', 'aadhar', 'number', 'is', '844063404132']","['O', 'B-NAME', 'I-NAME', 'O', 'O', 'O', 'O', 'B-CITY', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DOB', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ACCOUNTNUMBER', 'O', 'B-BANKIFSC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AADHAR']"
"Sunder Paal, an Indian national born on 03-12-1969, holds passport W66 01288, driving license BR-2120099520956, and his ATM card 40001665678939369 has a CVV of 455, his last known IP address was 34.47.35.96 and can be contacted at 9581465920.","['Sunder', 'Paal', ',', 'an', 'Indian', 'national', 'born', 'on', '03-12-1969', ',', 'holds', 'passport', 'W66', '01288', ',', 'driving', 'license', 'BR-2120099520956', ',', 'and', 'his', 'ATM', 'card', '40001665678939369', 'has', 'a', 'CVV', 'of', '455', ',', 'his', 'last', 'known', 'IP', 'address', 'was', '34.47.35.96', 'and', 'can', 'be', 'contacted', 'at', '9581465920']","['B-NAME', 'I-NAME', 'O', 'O', 'B-NATIONALITY', 'O', 'O', 'O', 'B-DOB', 'O', 'O', 'O', 'B-PASSPORT', 'I-PASSPORT', 'O', 'O', 'O', 'B-LICENSE', 'O', 'O', 'O', 'O', 'O', 'B-CARDNUMBER', 'O', 'O', 'B-CVV', 'O', 'B-CVV', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'O', 'B-IP', 'O', 'O', 'O', 'O', 'O', 'B-PHONE']"
"Ms. Rekha Patel, a resident of Abiramam, possesses Aadhaar number 662510314611, PAN BRNRB4633Q, and voter ID EVU8415504; her email is barjrajshivani809@outshiny.com.","['Ms.', 'Rekha', 'Patel', ',', 'a', 'resident', 'of', 'Abiramam', ',', 'possesses', 'Aadhaar', 'number', '662510314611', ',', 'PAN', 'BRNRB4633Q', ',', 'and', 'voter', 'ID', 'EVU8415504', ';', 'her', 'email', 'is', 'barjrajshivani809@outshiny.com']","['O', 'B-NAME', 'I-NAME', 'O', 'O', 'O', 'O', 'B-CITY', 'O', 'O', 'O', 'O', 'B-AADHAR', 'O', 'O', 'B-PAN', 'O', 'O', 'O', 'O', 'B-VOTER', 'O', 'O', 'O', 'O', 'B-EMAIL']"
"Rohit, a male Indian national born on 08-07-1993, holds Aadhaar number 219621121171 and ATM card 40265382174704021 with CVV 847.","['Rohit', ',', 'a', 'male', 'Indian', 'national', 'born', 'on', '08-07-1993', ',', 'holds', 'Aadhaar', 'number', '219621121171', 'and', 'ATM', 'card', '40265382174704021', 'with', 'CVV', '847', '.']","['B-NAME', 'O', 'O', 'B-GENDER', 'B-NATIONALITY', 'I-NATIONALITY', 'O', 'O', 'B-DOB', 'O', 'O', 'O', 'O', 'B-AADHAR', 'O', 'O', 'O', 'B-CARDNUMBER', 'O', 'O', 'B-CVV', 'O']"
"The Indian passport holder, Mr. Rajesh Kumar, possesses Aadhaar number 869215767085, driving license BR10 20025303428, and his bank details include IFSC code PNB0434888 and ATM card number ending in 272, his IP address is 98.119.192.158.","['The', 'Indian', 'passport', 'holder', ',', 'Mr.', 'Rajesh', 'Kumar', ',', 'possesses', 'Aadhaar', 'number', '869215767085', ',', 'driving', 'license', 'BR10', '20025303428', ',', 'and', 'his', 'bank', 'details', 'include', 'IFSC', 'code', 'PNB0434888', 'and', 'ATM', 'card', 'number', 'ending', 'in', '272', ',', 'his', 'IP', 'address', 'is', '98.119.192.158', '.']","['O', 'B-NATIONALITY', 'O', 'O', 'O', 'O', 'B-NAME', 'I-NAME', 'O', 'O', 'O', 'O', 'B-AADHAR', 'O', 'O', 'O', 'B-LICENSE', 'I-LICENSE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-BANKIFSC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDNUMBER', 'O', 'O', 'O', 'O', 'O', 'B-IP', 'O']"
"Sparsh, a male Indian national residing in Abomgaon, has an email address barjrajshivani251@gmail.com, phone number +91 88834 85224, and his bank details include ATM card number 40265361395478623 and IFSC code ICIC0125739.","['Sparsh', ',', 'a', 'male', 'Indian', 'national', 'residing', 'in', 'Abomgaon', ',', 'has', 'an', 'email', 'address', 'barjrajshivani251@gmail.com', ',', 'phone', 'number', '+91', '88834', '85224', ',', 'and', 'his', 'bank', 'details', 'include', 'ATM', 'card', 'number', '40265361395478623', 'and', 'IFSC', 'code', 'ICIC0125739', '.']","['B-NAME', 'O', 'O', 'B-GENDER', 'B-NATIONALITY', 'I-NATIONALITY', 'O', 'O', 'B-CITY', 'O', 'O', 'O', 'O', 'O', 'B-EMAIL', 'O', 'O', 'O', 'B-PHONE', 'I-PHONE', 'I-PHONE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDNUMBER', 'O', 'O', 'O', 'B-BANKIFSC', 'O']"
"The passport application of Mr. Rohan Sharma, a male applicant born on 03/05/2022, includes his Aadhar number 508394284717, PAN WWZBL7699L, and his bank's IFSC code IDIB0721567 linked to his ATM card number 43280802021984414.  His application was submitted from IP address 192.217.180.35.","['The', 'passport', 'application', 'of', 'Mr.', 'Rohan', 'Sharma', ',', 'a', 'male', 'applicant', 'born', 'on', '03/05/2022', ',', 'includes', 'his', 'Aadhar', 'number', '508394284717', ',', 'PAN', 'WWZBL7699L', ',', 'and', 'his', 'bank', 'IFSC', 'code', 'IDIB0721567', 'linked', 'to', 'his', 'ATM', 'card', 'number', '43280802021984414', '.', 'His', 'application', 'was', 'submitted', 'from', 'IP', 'address', '192.217.180.35', '.']","['O', 'O', 'O', 'O', 'O', 'B-NAME', 'I-NAME', 'O', 'O', 'B-GENDER', 'O', 'O', 'O', 'B-DOB', 'O', 'O', 'O', 'O', 'O', 'B-AADHAR', 'O', 'O', 'B-PAN', 'O', 'O', 'O', 'O', 'O', 'O', 'B-BANKIFSC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDNUMBER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IP', 'O']"
"Santosh, an Indian male, holds passport P74 18858, voter ID KKU3431864, and has bank account 410880828734 linked to IFSC code ICIC0032335.","['Santosh', ',', 'an', 'Indian', 'male', ',', 'holds', 'passport', 'P74', '18858', ',', 'voter', 'ID', 'KKU3431864', ',', 'and', 'has', 'bank', 'account', '410880828734', 'linked', 'to', 'IFSC', 'code', 'ICIC0032335', '.']","['B-NAME', 'O', 'O', 'B-NATIONALITY', 'B-GENDER', 'O', 'O', 'O', 'B-PASSPORT', 'I-PASSPORT', 'O', 'O', 'O', 'B-VOTER', 'O', 'O', 'O', 'O', 'O', 'B-ACCOUNTNUMBER', 'O', 'O', 'O', 'O', 'B-BANKIFSC', 'O']"
"The passport application of Ms. Rekha Kalathia, born on 01-09-1973, with email indianindian23@gmail.com and phone number 9179019 88078, includes Aadhar number 864155970874 and bank account 85552309703.","['The', 'passport', 'application', 'of', 'Ms.', 'Rekha', 'Kalathia', ',', 'born', 'on', '01-09-1973', ',', 'with', 'email', 'indianindian23@gmail.com', 'and', 'phone', 'number', '9179019', '88078', ',', 'includes', 'Aadhar', 'number', '864155970874', 'and', 'bank', 'account', '85552309703', '.']","['O', 'O', 'O', 'O', 'O', 'B-NAME', 'I-NAME', 'O', 'O', 'O', 'B-DOB', 'O', 'O', 'O', 'B-EMAIL', 'O', 'O', 'O', 'B-PHONE', 'I-PHONE', 'O', 'O', 'O', 'O', 'B-AADHAR', 'O', 'O', 'O', 'B-ACCOUNTNUMBER', 'O']"
"Dinesh, a male resident of Abul Kharana, has a voter ID IWW4660954, email mf699@gmail.com, and phone number +919400011070.","['Dinesh', ',', 'a', 'male', 'resident', 'of', 'Abul', 'Kharana', ',', 'has', 'a', 'voter', 'ID', 'IWW4660954', ',', 'email', 'mf699@gmail.com', ',', 'and', 'phone', 'number', '+919400011070', '.']","['B-NAME', 'O', 'O', 'B-GENDER', 'O', 'O', 'B-CITY', 'I-CITY', 'O', 'O', 'O', 'O', 'O', 'B-VOTER', 'O', 'O', 'B-EMAIL', 'O', 'O', 'O', 'O', 'B-PHONE', 'O']"
"The voter with ID HSB5167659, residing in Abur, possesses an ATM card 50812639132460252 with CVV 861 and his phone number is 91 8596075922.","['The', 'voter', 'with', 'ID', 'HSB5167659', ',', 'residing', 'in', 'Abur', ',', 'possesses', 'an', 'ATM', 'card', '50812639132460252', 'with', 'CVV', '861', 'and', 'his', 'phone', 'number', 'is', '91', '8596075922']","['O', 'O', 'O', 'O', 'B-VOTER', 'O', 'O', 'O', 'B-CITY', 'O', 'O', 'O', 'O', 'O', 'B-CARDNUMBER', 'O', 'O', 'B-CVV', 'O', 'O', 'O', 'O', 'O', 'B-PHONE', 'I-PHONE']"
"Indian national Rajesh Kumar, born on 17-10-1963, has a passport number L6425987, bank account 67028929339, and his email is indianindian594@skillslash.com.","['Indian', 'national', 'Rajesh', 'Kumar', ',', 'born', 'on', '17-10-1963', ',', 'has', 'a', 'passport', 'number', 'L6425987', ',', 'bank', 'account', '67028929339', ',', 'and', 'his', 'email', 'is', 'indianindian594@skillslash.com']","['B-NATIONALITY', 'I-NATIONALITY', 'B-NAME', 'I-NAME', 'O', 'O', 'O', 'B-DOB', 'O', 'O', 'O', 'O', 'O', 'B-PASSPORT', 'O', 'O', 'O', 'B-ACCOUNTNUMBER', 'O', 'O', 'O', 'O', 'O', 'B-EMAIL']"
"Mr. Rajesh Kumar, a male resident of Mumbai, holds a driving license MN-0520054738630, has a bank account 2012454971971 with IFSC code KARB0275473, and can be reached at mf309@beyoung.in.","['Mr.', 'Rajesh', 'Kumar', ',', 'a', 'male', 'resident', 'of', 'Mumbai', ',', 'holds', 'a', 'driving', 'license', 'MN-0520054738630', ',', 'has', 'a', 'bank', 'account', '2012454971971', 'with', 'IFSC', 'code', 'KARB0275473', ',', 'and', 'can', 'be', 'reached', 'at', 'mf309@beyoung.in']","['O', 'B-NAME', 'I-NAME', 'O', 'O', 'B-GENDER', 'O', 'O', 'B-CITY', 'O', 'O', 'O', 'O', 'O', 'B-LICENSE', 'O', 'O', 'O', 'O', 'O', 'B-ACCOUNTNUMBER', 'O', 'O', 'O', 'B-BANKIFSC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EMAIL']"
"Gurmit Singh, an Indian national residing in Accarapatam, possesses passport number H5968891, voter ID QIK9767842, and his ATM card number is 50812685956857057 with CVV 334.","['Gurmit', 'Singh', ',', 'an', 'Indian', 'national', 'residing', 'in', 'Accarapatam', ',', 'possesses', 'passport', 'number', 'H5968891', ',', 'voter', 'ID', 'QIK9767842', ',', 'and', 'his', 'ATM', 'card', 'number', 'is', '50812685956857057', 'with', 'CVV', '334', '.']","['B-NAME', 'I-NAME', 'O', 'O', 'B-NATIONALITY', 'I-NATIONALITY', 'O', 'O', 'B-CITY', 'O', 'O', 'O', 'O', 'B-PASSPORT', 'O', 'O', 'O', 'B-VOTER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDNUMBER', 'O', 'O', 'B-CVV', 'O']"
"The bank account 546239142246 belonging to md. afsar, whose PAN is JLNVL7410X, is linked to the IFSC code HDFC0926891 and his contact number is +918498473106, and his email is barjrajshivani648@eluminaelearning.com.au.","['The', 'bank', 'account', '546239142246', 'belonging', 'to', 'md.', 'afsar', ',', 'whose', 'PAN', 'is', 'JLNVL7410X', ',', 'is', 'linked', 'to', 'the', 'IFSC', 'code', 'HDFC0926891', 'and', 'his', 'contact', 'number', 'is', '+918498473106', ',', 'and', 'his', 'email', 'is', 'barjrajshivani648@eluminaelearning.com.au', '.']","['O', 'O', 'O', 'B-ACCOUNTNUMBER', 'O', 'O', 'B-NAME', 'I-NAME', 'O', 'O', 'O', 'O', 'B-PAN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-BANKIFSC', 'O', 'O', 'O', 'O', 'O', 'B-PHONE', 'O', 'O', 'O', 'O', 'O', 'B-EMAIL', 'O']"
